title,keyword
DOODLE HEART HALF T WHITE GREYISH BLUE,"프린팅, 디자인, 사이즈, 여름, 배송, 재질, 편하다, 가격, 빠르다, 오버핏"
[SET] 워셔블 케이블 반팔 니트 세트,"여름, 니트, 사이즈, 가격, 색감, 재질, 가성비, 덥다, 배송, 맞다"
[2PACK] 쿨 코튼 티셔츠 블랙+화이트,"사이즈, 편하다, 여름, 시원하다, 재질, 가격, 배송, 얇다, 기본, 빠르다"
[3천원 결제혜택]링클 체크 박시 오버핏 롤업 하프 셔츠 다크 네이비,"여름, 시원하다, 얇다, 셔츠, 재질, 편하다, 사이즈, 가격, 크다, 단추"
460G 컷 헤비 피그먼트 티셔츠-차콜-,"사이즈, 색감, 재질, 오버핏, 피그먼트, 여름, 편하다, 색상, 적당하다, 두껍다"
[16수 코마사] 2PACK SMALL ARCH T-SHIRT WHITE _ BLACK,"사이즈, 여름, 편하다, 적당하다, 재질, 가격, 크다, 맞다, 가성비, 오버핏"
빈티지 워싱 네이비 체크셔츠,"셔츠, 얇다, 여름, 체크, 색감, 사이즈, 배송, 재질, 적당하다, 가격"
[3PACK] 에어쿨링 드라이 기능성 무지 반팔티,"운동, 시원하다, 편하다, 가격, 사이즈, 여름, 가성비, 재질, 얇다, 만족하다"
TAG OG TEE - WHITE,"사이즈, 디자인, 배송, 크다, 편하다, 깔끔하다, 오버핏, 재질, 빠르다, 맞다"
[2PACK] EL 스트리트 아트워크 오버핏 반팔티 2종 2PACK,"사이즈, 디자인, 가격, 편하다, 배송, 얇다, 여름, 빠르다, 오버핏, 적당하다"
